asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
ASV_201	22	Archaeospora_trappei	61	SF124_22	Single	Archaeospora_trappei_SF124_22_ASV_201
ASV_202	22	Diversispora_trimurales?	14	NB103A	Single	Diversispora_trimurales?_NB103A_ASV_202
ASV_203	22	Archaeospora_schenckii	38	CL401	Single	Archaeospora_schenckii_CL401_ASV_203
ASV_204	21	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_204
ASV_205	21	Dentiscutata_heterogama	44	FL728	Single	Dentiscutata_heterogama_FL728_ASV_205
ASV_206	21	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_206
ASV_207	20	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_207
ASV_208	19	Gigaspora_margarita	5	NC114B	Single	Gigaspora_margarita_NC114B_ASV_208
ASV_209	19	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_209
ASV_210	19	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_210
ASV_211	18	Septoglomus_constrictum	82	KS890	Single	Septoglomus_constrictum_KS890_ASV_211
ASV_212	18	Septoglomus_constrictum	82	KS890	Single	Septoglomus_constrictum_KS890_ASV_212
ASV_213	18	Archaeospora_trappei	61	SF124_22	Single	Archaeospora_trappei_SF124_22_ASV_213
ASV_214	18	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_214
ASV_215	17	Septoglomus_constrictum	82	KS890	Single	Septoglomus_constrictum_KS890_ASV_215
ASV_216	17	Ambispora_leptoticha	11	MX982A	Single	Ambispora_leptoticha_MX982A_ASV_216
ASV_217	17	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_217
ASV_218	17	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_218
ASV_219	17	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_219
ASV_220	17	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_220
ASV_221	17	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_221
ASV_222	17	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_222
ASV_223	16	Septoglomus_constrictum	82	KS890	Single	Septoglomus_constrictum_KS890_ASV_223
ASV_224	16	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_224
ASV_225	16	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_225
